x,y,species logistic values
383.0,383.0,9.492444E-9
384.0,384.0,0.32818165
385.0,385.0,0.012289134
386.0,386.0,0.0019812929
387.0,387.0,0.010130601
388.0,388.0,0.1529957
389.0,389.0,3.5885314E-6
390.0,390.0,0.20130892
391.0,391.0,0.0016864619
392.0,392.0,1.3665004E-5
393.0,393.0,1.8185634E-5
394.0,394.0,0.28761783
395.0,395.0,0.0022425633
396.0,396.0,0.7403313
397.0,397.0,9.9424E-12
398.0,398.0,0.29996997
399.0,399.0,8.768423E-14
400.0,400.0,2.4209055E-4
401.0,401.0,6.439664E-4
402.0,402.0,1.5681033E-10
403.0,403.0,0.0029553666
404.0,404.0,3.9263403E-5
405.0,405.0,0.06571029
406.0,406.0,6.664907E-4
407.0,407.0,0.15139765
408.0,408.0,3.926316E-9
409.0,409.0,1.3832281E-5
410.0,410.0,1.2378074E-4
411.0,411.0,8.841707E-14
412.0,412.0,0.5496045
413.0,413.0,0.020796388
414.0,414.0,3.440659E-4
415.0,415.0,0.0028954716
416.0,416.0,1.596782E-7
417.0,417.0,4.481616E-12
418.0,418.0,0.040196523
419.0,419.0,5.081737E-12
420.0,420.0,0.016264098
421.0,421.0,6.6466717E-4
422.0,422.0,0.034047443
423.0,423.0,0.06548547
424.0,424.0,0.11774936
425.0,425.0,1.8998615E-10
426.0,426.0,0.05987416
427.0,427.0,2.0926827E-9
428.0,428.0,3.899013E-4
429.0,429.0,5.131213E-4
430.0,430.0,0.5734852
431.0,431.0,6.8545064E-6
432.0,432.0,2.1974827E-4
433.0,433.0,0.049880005
434.0,434.0,0.012207412
435.0,435.0,7.2647555E-4
436.0,436.0,0.2419164
437.0,437.0,0.028827257
438.0,438.0,7.8614823E-7
439.0,439.0,4.7351259E-7
440.0,440.0,0.007636036
441.0,441.0,0.0019220926
442.0,442.0,2.7626168E-4
443.0,443.0,3.9839892E-6
444.0,444.0,9.704728E-6
445.0,445.0,0.0023081698
446.0,446.0,2.653628E-8
447.0,447.0,6.751329E-5
448.0,448.0,0.64641
449.0,449.0,0.05721855
450.0,450.0,3.7173397E-4
451.0,451.0,1.6290325E-4
452.0,452.0,0.034791622
453.0,453.0,0.3563835
454.0,454.0,0.40144694
455.0,455.0,0.06347503
456.0,456.0,1.4878057E-4
457.0,457.0,1.0442869E-8
458.0,458.0,1.4433614E-4
459.0,459.0,7.2644575E-4
460.0,460.0,1.5502132E-9
461.0,461.0,0.0042587374
462.0,462.0,0.0010942144
463.0,463.0,0.0017523328
464.0,464.0,0.5305145
465.0,465.0,1.5999178E-11
466.0,466.0,0.0010829556
467.0,467.0,2.2325228E-4
468.0,468.0,6.653422E-5
469.0,469.0,0.47150844
470.0,470.0,8.986177E-5
471.0,471.0,5.36393E-13
472.0,472.0,0.58386207
473.0,473.0,0.03522578
474.0,474.0,0.5641814
475.0,475.0,3.042898E-7
476.0,476.0,0.008220989
477.0,477.0,0.002228213
478.0,478.0,2.613484E-4
479.0,479.0,0.0018527879
480.0,480.0,0.007506376
481.0,481.0,5.747568E-4
482.0,482.0,9.983754E-4
483.0,483.0,1.1572129E-5
484.0,484.0,0.020907752
485.0,485.0,6.974393E-13
486.0,486.0,0.0048321597
487.0,487.0,0.02388622
488.0,488.0,0.0073682773
489.0,489.0,5.350482E-7
490.0,490.0,2.7911995E-10
491.0,491.0,0.058741666
492.0,492.0,1.2486703E-4
493.0,493.0,0.0017773978
494.0,494.0,0.06393038
495.0,495.0,4.0710217E-4
496.0,496.0,1.9928493E-5
497.0,497.0,0.611373
498.0,498.0,0.044655975
499.0,499.0,0.03199258
500.0,500.0,0.17927487
