x,y,species logistic values
349.0,349.0,0.25135225
350.0,350.0,0.68202674
351.0,351.0,0.20706934
352.0,352.0,0.008396494
353.0,353.0,0.37088665
354.0,354.0,0.2889111
355.0,355.0,0.07730958
356.0,356.0,0.21429028
357.0,357.0,0.70543003
358.0,358.0,0.29692683
359.0,359.0,0.3856257
360.0,360.0,0.10817479
361.0,361.0,0.060668506
362.0,362.0,0.8226094
363.0,363.0,0.1414098
364.0,364.0,0.46748
365.0,365.0,0.21659303
366.0,366.0,0.26197276
367.0,367.0,0.23805097
368.0,368.0,0.68571395
369.0,369.0,0.15524398
370.0,370.0,0.48215994
371.0,371.0,0.6297957
372.0,372.0,0.060408168
373.0,373.0,0.85828906
374.0,374.0,0.18525745
375.0,375.0,0.16476844
376.0,376.0,0.22862394
377.0,377.0,0.004694272
378.0,378.0,0.12689127
379.0,379.0,0.5538197
380.0,380.0,0.48724878
381.0,381.0,0.6140976
382.0,382.0,0.07946041
383.0,383.0,0.14999834
384.0,384.0,0.5538731
385.0,385.0,0.12771057
386.0,386.0,0.19390054
387.0,387.0,0.1600189
388.0,388.0,0.79035246
389.0,389.0,0.14654647
390.0,390.0,0.03974507
391.0,391.0,0.2432349
392.0,392.0,0.37738293
393.0,393.0,0.026326159
394.0,394.0,0.19720884
395.0,395.0,0.20376869
396.0,396.0,0.08455468
397.0,397.0,0.10558162
398.0,398.0,0.0056922548
399.0,399.0,0.35725343
400.0,400.0,0.20732819
401.0,401.0,0.06210079
402.0,402.0,0.37727565
403.0,403.0,0.138405
404.0,404.0,0.6388093
405.0,405.0,0.6115791
406.0,406.0,0.14447427
407.0,407.0,0.22975734
408.0,408.0,0.37108105
409.0,409.0,0.34253576
410.0,410.0,0.34684345
411.0,411.0,0.19725671
412.0,412.0,0.11114347
413.0,413.0,0.23884986
414.0,414.0,0.2897813
415.0,415.0,0.5829187
416.0,416.0,0.0834501
417.0,417.0,0.1367257
418.0,418.0,0.19216563
419.0,419.0,0.1706117
420.0,420.0,0.09296293
421.0,421.0,0.62794304
422.0,422.0,0.4519087
423.0,423.0,0.7888315
424.0,424.0,0.31723735
425.0,425.0,0.41349265
426.0,426.0,0.16664957
427.0,427.0,0.57394344
428.0,428.0,0.25705582
429.0,429.0,0.39619666
430.0,430.0,0.020808294
431.0,431.0,0.6300658
432.0,432.0,0.35016245
433.0,433.0,0.49836472
434.0,434.0,0.04232333
435.0,435.0,0.35380095
436.0,436.0,0.19901644
437.0,437.0,0.2889149
438.0,438.0,0.8267578
439.0,439.0,0.67945474
440.0,440.0,0.115098946
441.0,441.0,0.27051976
442.0,442.0,0.2531349
443.0,443.0,0.32956448
444.0,444.0,0.013002543
445.0,445.0,0.183008
